OrderID,CompanyName,FirstName,LastName
11240,Alfreds Futterkiste,Andrew,Fuller
12302,Alfreds Futterkiste,Janet,Leverling
12409,Alfreds Futterkiste,Laura,Callahan
12748,Alfreds Futterkiste,Anne,Dodsworth
13223,Alfreds Futterkiste,Michael,Suyama
14302,Alfreds Futterkiste,Anne,Dodsworth
14486,Alfreds Futterkiste,Margaret,Peacock
14647,Alfreds Futterkiste,Laura,Callahan
14746,Alfreds Futterkiste,Steven,Buchanan
15900,Alfreds Futterkiste,Andrew,Fuller
18235,Alfreds Futterkiste,Laura,Callahan
19146,Alfreds Futterkiste,Nancy,Davolio
19173,Alfreds Futterkiste,Nancy,Davolio
19804,Alfreds Futterkiste,Anne,Dodsworth
19958,Alfreds Futterkiste,Margaret,Peacock
20318,Alfreds Futterkiste,Michael,Suyama
22080,Alfreds Futterkiste,Michael,Suyama
22196,Alfreds Futterkiste,Margaret,Peacock
22746,Alfreds Futterkiste,Nancy,Davolio
23380,Alfreds Futterkiste,Robert,King
24772,Alfreds Futterkiste,Janet,Leverling
25156,Alfreds Futterkiste,Robert,King
25893,Alfreds Futterkiste,Laura,Callahan
26376,Alfreds Futterkiste,Janet,Leverling
11955,Ana Trujillo Emparedados y helados,Janet,Leverling
11997,Ana Trujillo Emparedados y helados,Anne,Dodsworth
12306,Ana Trujillo Emparedados y helados,Steven,Buchanan
12875,Ana Trujillo Emparedados y helados,Nancy,Davolio
12948,Ana Trujillo Emparedados y helados,Nancy,Davolio
12997,Ana Trujillo Emparedados y helados,Laura,Callahan
14135,Ana Trujillo Emparedados y helados,Robert,King
14983,Ana Trujillo Emparedados y helados,Janet,Leverling
15204,Ana Trujillo Emparedados y helados,Andrew,Fuller
15513,Ana Trujillo Emparedados y helados,Andrew,Fuller
16184,Ana Trujillo Emparedados y helados,Laura,Callahan
16758,Ana Trujillo Emparedados y helados,Laura,Callahan
17141,Ana Trujillo Emparedados y helados,Robert,King
17634,Ana Trujillo Emparedados y helados,Michael,Suyama
17810,Ana Trujillo Emparedados y helados,Janet,Leverling
19827,Ana Trujillo Emparedados y helados,Michael,Suyama
20061,Ana Trujillo Emparedados y helados,Laura,Callahan
20396,Ana Trujillo Emparedados y helados,Robert,King
20698,Ana Trujillo Emparedados y helados,Margaret,Peacock
21061,Ana Trujillo Emparedados y helados,Steven,Buchanan
21327,Ana Trujillo Emparedados y helados,Nancy,Davolio
21597,Ana Trujillo Emparedados y helados,Michael,Suyama
22127,Ana Trujillo Emparedados y helados,Janet,Leverling
22276,Ana Trujillo Emparedados y helados,Margaret,Peacock
23642,Ana Trujillo Emparedados y helados,Laura,Callahan
24300,Ana Trujillo Emparedados y helados,Andrew,Fuller
25052,Ana Trujillo Emparedados y helados,Nancy,Davolio
25064,Ana Trujillo Emparedados y helados,Anne,Dodsworth
26389,Ana Trujillo Emparedados y helados,Robert,King
12707,Antonio Moreno Taquería,Margaret,Peacock
13197,Antonio Moreno Taquería,Robert,King
13402,Antonio Moreno Taquería,Janet,Leverling
14046,Antonio Moreno Taquería,Nancy,Davolio
14897,Antonio Moreno Taquería,Anne,Dodsworth
14960,Antonio Moreno Taquería,Nancy,Davolio
15915,Antonio Moreno Taquería,Nancy,Davolio
16487,Antonio Moreno Taquería,Margaret,Peacock
17288,Antonio Moreno Taquería,Janet,Leverling
17316,Antonio Moreno Taquería,Nancy,Davolio
17541,Antonio Moreno Taquería,Robert,King
18411,Antonio Moreno Taquería,Nancy,Davolio
18561,Antonio Moreno Taquería,Michael,Suyama
18813,Antonio Moreno Taquería,Steven,Buchanan
19249,Antonio Moreno Taquería,Anne,Dodsworth
19375,Antonio Moreno Taquería,Margaret,Peacock
19486,Antonio Moreno Taquería,Michael,Suyama
22570,Antonio Moreno Taquería,Margaret,Peacock
23077,Antonio Moreno Taquería,Anne,Dodsworth
23554,Antonio Moreno Taquería,Margaret,Peacock
24377,Antonio Moreno Taquería,Anne,Dodsworth
24447,Antonio Moreno Taquería,Nancy,Davolio
25230,Antonio Moreno Taquería,Laura,Callahan
11472,Around the Horn,Robert,King
14060,Around the Horn,Margaret,Peacock
14677,Around the Horn,Anne,Dodsworth
17074,Around the Horn,Robert,King
17334,Around the Horn,Robert,King
18189,Around the Horn,Nancy,Davolio
18380,Around the Horn,Margaret,Peacock
20582,Around the Horn,Steven,Buchanan
20934,Around the Horn,Michael,Suyama
21163,Around the Horn,Robert,King
23646,Around the Horn,Robert,King
25368,Around the Horn,Janet,Leverling
13210,B's Beverages,Nancy,Davolio
14604,B's Beverages,Andrew,Fuller
14928,B's Beverages,Anne,Dodsworth
16497,B's Beverages,Robert,King
18118,B's Beverages,Steven,Buchanan
19007,B's Beverages,Anne,Dodsworth
21592,B's Beverages,Laura,Callahan
23158,B's Beverages,Laura,Callahan
23333,B's Beverages,Michael,Suyama
24117,B's Beverages,Nancy,Davolio
24654,B's Beverages,Michael,Suyama
25778,B's Beverages,Laura,Callahan
26171,B's Beverages,Margaret,Peacock
26295,B's Beverages,Anne,Dodsworth
10924,Berglunds snabbköp,Janet,Leverling
11106,Berglunds snabbköp,Janet,Leverling
11426,Berglunds snabbköp,Nancy,Davolio
12233,Berglunds snabbköp,Steven,Buchanan
12425,Berglunds snabbköp,Steven,Buchanan
13988,Berglunds snabbköp,Margaret,Peacock
14276,Berglunds snabbköp,Margaret,Peacock
20393,Berglunds snabbköp,Margaret,Peacock
21079,Berglunds snabbköp,Michael,Suyama
21258,Berglunds snabbköp,Margaret,Peacock
21608,Berglunds snabbköp,Janet,Leverling
22378,Berglunds snabbköp,Anne,Dodsworth
22708,Berglunds snabbköp,Janet,Leverling
23391,Berglunds snabbköp,Michael,Suyama
24058,Berglunds snabbköp,Janet,Leverling
24290,Berglunds snabbköp,Michael,Suyama
24409,Berglunds snabbköp,Laura,Callahan
25844,Berglunds snabbköp,Margaret,Peacock
11114,Blauer See Delikatessen,Andrew,Fuller
11772,Blauer See Delikatessen,Andrew,Fuller
12345,Blauer See Delikatessen,Michael,Suyama
13031,Blauer See Delikatessen,Robert,King
13937,Blauer See Delikatessen,Anne,Dodsworth
14807,Blauer See Delikatessen,Anne,Dodsworth
16262,Blauer See Delikatessen,Janet,Leverling
16985,Blauer See Delikatessen,Nancy,Davolio
17008,Blauer See Delikatessen,Robert,King
17201,Blauer See Delikatessen,Robert,King
19293,Blauer See Delikatessen,Michael,Suyama
19528,Blauer See Delikatessen,Laura,Callahan
20537,Blauer See Delikatessen,Janet,Leverling
20573,Blauer See Delikatessen,Steven,Buchanan
20598,Blauer See Delikatessen,Michael,Suyama
22070,Blauer See Delikatessen,Steven,Buchanan
22220,Blauer See Delikatessen,Anne,Dodsworth
22939,Blauer See Delikatessen,Michael,Suyama
23956,Blauer See Delikatessen,Margaret,Peacock
24689,Blauer See Delikatessen,Nancy,Davolio
24750,Blauer See Delikatessen,Robert,King
25765,Blauer See Delikatessen,Laura,Callahan
25917,Blauer See Delikatessen,Andrew,Fuller
26130,Blauer See Delikatessen,Janet,Leverling
12607,Blondesddsl père et fils,Michael,Suyama
13550,Blondesddsl père et fils,Steven,Buchanan
13984,Blondesddsl père et fils,Anne,Dodsworth
15180,Blondesddsl père et fils,Janet,Leverling
16534,Blondesddsl père et fils,Andrew,Fuller
16777,Blondesddsl père et fils,Margaret,Peacock
17116,Blondesddsl père et fils,Laura,Callahan
18027,Blondesddsl père et fils,Nancy,Davolio
18198,Blondesddsl père et fils,Laura,Callahan
19334,Blondesddsl père et fils,Margaret,Peacock
19401,Blondesddsl père et fils,Margaret,Peacock
19859,Blondesddsl père et fils,Michael,Suyama
20282,Blondesddsl père et fils,Anne,Dodsworth
20354,Blondesddsl père et fils,Laura,Callahan
22916,Blondesddsl père et fils,Margaret,Peacock
23581,Blondesddsl père et fils,Nancy,Davolio
24928,Blondesddsl père et fils,Anne,Dodsworth
24930,Blondesddsl père et fils,Steven,Buchanan
25387,Blondesddsl père et fils,Michael,Suyama
25644,Blondesddsl père et fils,Andrew,Fuller
25888,Blondesddsl père et fils,Anne,Dodsworth
10827,Bon app',Nancy,Davolio
11263,Bon app',Janet,Leverling
11309,Bon app',Andrew,Fuller
11496,Bon app',Janet,Leverling
12130,Bon app',Anne,Dodsworth
12555,Bon app',Anne,Dodsworth
12698,Bon app',Michael,Suyama
13883,Bon app',Michael,Suyama
14985,Bon app',Nancy,Davolio
15802,Bon app',Steven,Buchanan
15871,Bon app',Janet,Leverling
17835,Bon app',Robert,King
17860,Bon app',Robert,King
19123,Bon app',Janet,Leverling
21449,Bon app',Steven,Buchanan
21914,Bon app',Janet,Leverling
23336,Bon app',Steven,Buchanan
25706,Bon app',Nancy,Davolio
26517,Bon app',Robert,King
11310,Bottom-Dollar Markets,Laura,Callahan
11679,Bottom-Dollar Markets,Michael,Suyama
11765,Bottom-Dollar Markets,Janet,Leverling
12211,Bottom-Dollar Markets,Michael,Suyama
16931,Bottom-Dollar Markets,Nancy,Davolio
18252,Bottom-Dollar Markets,Anne,Dodsworth
18359,Bottom-Dollar Markets,Michael,Suyama
18372,Bottom-Dollar Markets,Nancy,Davolio
20052,Bottom-Dollar Markets,Janet,Leverling
20521,Bottom-Dollar Markets,Nancy,Davolio
20773,Bottom-Dollar Markets,Steven,Buchanan
23344,Bottom-Dollar Markets,Anne,Dodsworth
23605,Bottom-Dollar Markets,Janet,Leverling
25042,Bottom-Dollar Markets,Janet,Leverling
25124,Bottom-Dollar Markets,Laura,Callahan
10970,Bólido Comidas preparadas,Anne,Dodsworth
11540,Bólido Comidas preparadas,Michael,Suyama
12102,Bólido Comidas preparadas,Andrew,Fuller
12892,Bólido Comidas preparadas,Janet,Leverling
13262,Bólido Comidas preparadas,Andrew,Fuller
14167,Bólido Comidas preparadas,Robert,King
14274,Bólido Comidas preparadas,Nancy,Davolio
14806,Bólido Comidas preparadas,Laura,Callahan
15499,Bólido Comidas preparadas,Nancy,Davolio
16124,Bólido Comidas preparadas,Robert,King
16419,Bólido Comidas preparadas,Robert,King
16577,Bólido Comidas preparadas,Michael,Suyama
16637,Bólido Comidas preparadas,Nancy,Davolio
18264,Bólido Comidas preparadas,Andrew,Fuller
18714,Bólido Comidas preparadas,Anne,Dodsworth
18729,Bólido Comidas preparadas,Anne,Dodsworth
19745,Bólido Comidas preparadas,Anne,Dodsworth
20407,Bólido Comidas preparadas,Michael,Suyama
20581,Bólido Comidas preparadas,Michael,Suyama
20618,Bólido Comidas preparadas,Nancy,Davolio
21097,Bólido Comidas preparadas,Anne,Dodsworth
21181,Bólido Comidas preparadas,Laura,Callahan
21348,Bólido Comidas preparadas,Janet,Leverling
23229,Bólido Comidas preparadas,Nancy,Davolio
23685,Bólido Comidas preparadas,Janet,Leverling
24435,Bólido Comidas preparadas,Nancy,Davolio
25653,Bólido Comidas preparadas,Michael,Suyama
25727,Bólido Comidas preparadas,Margaret,Peacock
11228,Cactus Comidas para llevar,Robert,King
11273,Cactus Comidas para llevar,Janet,Leverling
12693,Cactus Comidas para llevar,Andrew,Fuller
12922,Cactus Comidas para llevar,Robert,King
14033,Cactus Comidas para llevar,Robert,King
14482,Cactus Comidas para llevar,Robert,King
14885,Cactus Comidas para llevar,Robert,King
15498,Cactus Comidas para llevar,Andrew,Fuller
15553,Cactus Comidas para llevar,Andrew,Fuller
15715,Cactus Comidas para llevar,Nancy,Davolio
15839,Cactus Comidas para llevar,Margaret,Peacock
16390,Cactus Comidas para llevar,Margaret,Peacock
17280,Cactus Comidas para llevar,Andrew,Fuller
17394,Cactus Comidas para llevar,Laura,Callahan
22000,Cactus Comidas para llevar,Nancy,Davolio
22696,Cactus Comidas para llevar,Steven,Buchanan
23275,Cactus Comidas para llevar,Robert,King
24192,Cactus Comidas para llevar,Robert,King
25203,Cactus Comidas para llevar,Nancy,Davolio
11193,Centro comercial Moctezuma,Nancy,Davolio
11729,Centro comercial Moctezuma,Steven,Buchanan
12261,Centro comercial Moctezuma,Janet,Leverling
13366,Centro comercial Moctezuma,Anne,Dodsworth
14264,Centro comercial Moctezuma,Margaret,Peacock
14319,Centro comercial Moctezuma,Steven,Buchanan
14583,Centro comercial Moctezuma,Nancy,Davolio
15008,Centro comercial Moctezuma,Anne,Dodsworth
15016,Centro comercial Moctezuma,Laura,Callahan
15506,Centro comercial Moctezuma,Anne,Dodsworth
16429,Centro comercial Moctezuma,Anne,Dodsworth
16563,Centro comercial Moctezuma,Margaret,Peacock
16964,Centro comercial Moctezuma,Laura,Callahan
17473,Centro comercial Moctezuma,Margaret,Peacock
18768,Centro comercial Moctezuma,Nancy,Davolio
19078,Centro comercial Moctezuma,Margaret,Peacock
19506,Centro comercial Moctezuma,Nancy,Davolio
19907,Centro comercial Moctezuma,Michael,Suyama
20626,Centro comercial Moctezuma,Nancy,Davolio
